class;parent;name;position;scale;model;origin;shader;texture;collider_type;subdivisions;points;rotation;collider;color
Entity;;'';Vec3(-2.2072, 1.5801, -1.6211);Vec3(2.0645, 3.3151, 2.0645);'diamond';Vec3(0, -0.5, 0);'matcap_shader';'sky_sunset';'None';;;;;
Entity;;'';Vec3(3.27829, 3.10035, -2.9419);Vec3(1.26204, 1.2617, 1.32665);'sphere';Vec3(0, -0.5, 0);'normals_shader';'';'None';;;;;
PokeShape;;;Vec3(-1.3522, 0.44662, -3.1932);;;;'lit_with_shadows_shader';'grass';'None';2;[Vec3(-7.3357, 0.000999391, -3.77637), Vec3(-4.30231, 0.000997722, -8.43793), Vec3(2.05479, 0.0014984, -8.07026), Vec3(5.90676, 0, -7.98567), Vec3(4.53698, 0.0020012, -2.74367), Vec3(4.211, 0.00199896, 4.88175), Vec3(-3.13966, 0, 6.57585), Vec3(-7.71829, 0.0010013, 1.87861)];;;
PokeShape;;;Vec3(0.2184, -0.01124, 1.5073);;;;'lit_with_shadows_shader';'grass';'None';2;[Vec3(-7.79579, 0, -4.98429), Vec3(4.0883, 0, -3.73695), Vec3(5.75721, 0.00100046, 0.779251), Vec3(5.73138, 0, 6.07817), Vec3(2.51629, 0.000999451, 9.67638), Vec3(-3.13966, 0, 6.57585)];Vec3(0, 27.8437, 0);;
PokeShape;;;Vec3(4.2567, -0.86933, -7.0497);;;;'lit_with_shadows_shader';'grass';'None';2;[Vec3(-7.79579, 0, -4.98429), Vec3(4.0883, 0, -3.73695), Vec3(5.75721, 0.00100046, 0.779251), Vec3(5.73138, 0, 6.07817), Vec3(2.51629, 0.000999451, 9.67638), Vec3(-3.13966, 0, 6.57585)];Vec3(0, 27.8437, 0);;
Entity;;'';Vec3(-3.94621, 0.469049, 0.89991);Vec3(1.64058, 1.64058, 1.64058);'cube';Vec3(0, -0.5, 0);'triplanar_shader';'sky_default';'None';;;;'box';
Entity;;'';Vec3(-2.52262, 0.26793, -3.37339);Vec3(1, 1.47187, 1);'cube';Vec3(0, -0.5, 0);'matcap_shader';'';'None';;;Vec3(-2.68895, -4.86919, 0);'box';
ErrorEntity;;'';;;'wireframe_cube';;'unlit_shader';'';'None';;;;;color.red
Entity;;'';Vec3(-3.77403, 0.05084, -3.37339);Vec3(1, 1.0377, 1);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(-0.290699, -9.44767, 0);'box';
Entity;;'';Vec3(-5.05155, 0.31294, -3.39142);Vec3(1, 1.56189, 1.03606);'cube';Vec3(0, -0.5, 0);'lit_with_shadows_shader';'brick';'None';;;Vec3(3.77907, 29.2878, 0);'box';
